TransactionId,TransactionDate,Narration,Debit,Credit,RunningBalance,ModelCopyDateTime,file_name,DomainName,CreatedDate,ModifiedDate,Classified,LabelTerm
6120,2023-02-06T00:00:00.0000000,SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 130437015 134926238 - S38917312,0,5394.94,188329.87,2023-06-14T20:54:36.0530000,Account_Details_03Jun2023_133827.pdf,NBD,2023-06-14T20:54:36.0530000,2023-06-14T20:54:36.0530000,No,
6121,2023-02-06T00:00:00.0000000,SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 130437015 134926238 - S38917312,0,5394.94,188329.87,2023-06-14T20:54:36.3600000,Account_Details_03Jun2023_133827.pdf,NBD,2023-06-14T20:54:36.3600000,2023-06-14T20:54:36.3600000,No,
6122,2023-02-06T00:00:00.0000000,SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 130437015 134926238 - S38917312,0,5394.94,188329.87,2023-06-14T20:54:36.4230000,Account_Details_03Jun2023_133827.pdf,NBD,2023-06-14T20:54:36.4230000,2023-06-14T20:54:36.4230000,No,
6123,2023-02-06T00:00:00.0000000,SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 130437015 134926238 - S38917312,0,5394.94,188329.87,2023-06-14T20:54:36.3730000,Account_Details_03Jun2023_133827.pdf,NBD,2023-06-14T20:54:36.3730000,2023-06-14T20:54:36.3730000,No,
6124,2023-02-06T00:00:00.0000000,SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 130437015 134926238 - S38917312,0,5394.94,188329.87,2023-06-14T20:54:36.6800000,Account_Details_03Jun2023_133827.pdf,NBD,2023-06-14T20:54:36.6800000,2023-06-14T20:54:36.6800000,No,
6125,2023-02-06T00:00:00.0000000,SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 860024026 134930811 - S38906975,0,2662.44,182934.93,2023-06-14T20:54:36.7670000,Account_Details_03Jun2023_133827.pdf,NBD,2023-06-14T20:54:36.7670000,2023-06-14T20:54:36.7670000,No,
6126,2023-02-06T00:00:00.0000000,SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 860024026 134930811 - S38906975,0,2662.44,182934.93,2023-06-14T20:54:36.7630000,Account_Details_03Jun2023_133827.pdf,NBD,2023-06-14T20:54:36.7630000,2023-06-14T20:54:36.7630000,No,
6127,2023-02-06T00:00:00.0000000,SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 860024026 134930811 - S38906975,0,2662.44,182934.93,2023-06-14T20:54:36.7670000,Account_Details_03Jun2023_133827.pdf,NBD,2023-06-14T20:54:36.7670000,2023-06-14T20:54:36.7670000,No,
6128,2023-02-06T00:00:00.0000000,SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 130437015 134926238 - S38917312,0,5394.94,188329.87,2023-06-14T20:54:36.7870000,Account_Details_03Jun2023_133827.pdf,NBD,2023-06-14T20:54:36.7870000,2023-06-14T20:54:36.7870000,No,
6129,2023-02-06T00:00:00.0000000,SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 860024026 134930811 - S38906975,0,2662.44,182934.93,2023-06-14T20:54:36.7900000,Account_Details_03Jun2023_133827.pdf,NBD,2023-06-14T20:54:36.7900000,2023-06-14T20:54:36.7900000,No,
6130,2023-02-06T00:00:00.0000000,SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 130437015 134926238 - S38917312,0,5394.94,188329.87,2023-06-14T20:54:36.8130000,Account_Details_03Jun2023_133827.pdf,NBD,2023-06-14T20:54:36.8130000,2023-06-14T20:54:36.8130000,No,
6131,2023-02-06T00:00:00.0000000,SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 860024026 134930811 - S38906975,0,2662.44,182934.93,2023-06-14T20:54:36.8370000,Account_Details_03Jun2023_133827.pdf,NBD,2023-06-14T20:54:36.8370000,2023-06-14T20:54:36.8370000,No,
6132,2023-02-06T00:00:00.0000000,SB-TRANSFERSB REF. 32070946 B/O NETWORK INTERNATIONAL LLC NI POS SETT 010623 130437015 134926238 - S38917312,0,5394.94,188329.87,2023-06-14T20:54:36.8830000,Account_Details_03Jun2023_133827.pdf,NBD,2023-06-14T20:54:36.8830000,2023-06-14T20:54:36.8830000,No,
